proyecto_id,empresa_id,tipo_energia,capacidad_generacion,reduccion_emisiones,costo_proyecto,estado_proyecto
PROJ000000,EMP016520,Solar,9131.06,2270.88,26.03,Activo
PROJ000001,EMP012923,Solar,2164.32,4886.1,364.36,Finalizado
PROJ000002,EMP023136,Biomasa,2374.24,446.3,190.17,En desarrollo
PROJ000003,EMP004436,GeotÃ©rmica,4065.11,4465.83,126.6,Finalizado
PROJ000004,EMP021681,EÃ³lica,4581.51,3280.46,227.13,Activo
PROJ000005,EMP024018,GeotÃ©rmica,6000.17,4752.33,88.9,Activo
PROJ000006,EMP012238,EÃ³lica,2984.04,1969.57,251.01,Finalizado
PROJ000007,EMP020520,HidroelÃ©ctrica,8502.92,4180.16,220.96,Finalizado
PROJ000008,EMP012169,HidroelÃ©ctrica,1057.63,3538.61,153.18,Finalizado
PROJ000009,EMP000629,GeotÃ©rmica,5620.21,176.3,289.48,Activo
PROJ000010,EMP004803,Biomasa,8341.52,3469.38,431.89,Finalizado
PROJ000011,EMP003152,Biomasa,584.91,4059.04,444.35,Activo
PROJ000012,EMP008983,GeotÃ©rmica,4053.83,2328.98,39.46,Finalizado
PROJ000013,EMP010936,EÃ³lica,9811.93,4614.99,351.1,En desarrollo
PROJ000014,EMP009367,HidroelÃ©ctrica,6886.96,773.28,477.44,Activo
PROJ000015,EMP000110,Biomasa,7772.69,24.2,387.8,En desarrollo
PROJ000016,EMP003807,EÃ³lica,1688.12,260.0,60.53,Activo
PROJ000017,EMP014653,HidroelÃ©ctrica,5412.19,450.83,99.14,En desarrollo
PROJ000018,EMP005826,HidroelÃ©ctrica,2759.48,616.52,386.56,Activo
PROJ000019,EMP000435,Solar,4307.75,3257.83,296.08,Finalizado
PROJ000020,EMP004005,HidroelÃ©ctrica,7261.32,2238.83,111.77,Finalizado
PROJ000021,EMP024243,Biomasa,2419.32,1215.54,250.22,Activo
PROJ000022,EMP002193,Solar,3238.09,4202.34,132.49,En desarrollo
PROJ000023,EMP007308,EÃ³lica,2961.36,4441.69,365.4,Activo
PROJ000024,EMP009564,EÃ³lica,7892.97,2054.57,131.29,Activo
PROJ000025,EMP002455,GeotÃ©rmica,9717.01,4613.94,395.47,Finalizado
PROJ000026,EMP019858,GeotÃ©rmica,6810.25,2308.2,325.86,En desarrollo
PROJ000027,EMP024221,GeotÃ©rmica,1003.53,3176.35,368.99,Activo
PROJ000028,EMP014993,HidroelÃ©ctrica,6774.57,3890.57,223.19,Finalizado
PROJ000029,EMP015821,GeotÃ©rmica,2595.51,4015.42,220.48,En desarrollo
PROJ000030,EMP003388,HidroelÃ©ctrica,4660.37,1284.28,106.38,En desarrollo
PROJ000031,EMP005378,GeotÃ©rmica,9786.57,973.8,389.37,Finalizado
PROJ000032,EMP017628,EÃ³lica,3506.95,1665.63,152.03,Activo
PROJ000033,EMP007203,GeotÃ©rmica,892.68,368.58,26.71,Activo
PROJ000034,EMP020783,EÃ³lica,462.01,2883.99,300.98,Activo
PROJ000035,EMP021315,EÃ³lica,395.17,3978.98,259.25,Activo
PROJ000036,EMP003710,HidroelÃ©ctrica,743.32,3546.91,470.28,Finalizado
PROJ000037,EMP005234,Biomasa,4720.61,2925.21,300.83,Finalizado
PROJ000038,EMP002197,GeotÃ©rmica,4956.12,1786.09,370.39,Finalizado
PROJ000039,EMP014242,Biomasa,7968.15,4578.2,186.74,Activo
PROJ000040,EMP020833,Solar,1241.48,3696.8,448.52,En desarrollo
PROJ000041,EMP013856,GeotÃ©rmica,8158.06,4425.64,161.89,Finalizado
PROJ000042,EMP005223,Solar,6367.71,284.59,303.02,En desarrollo
PROJ000043,EMP019569,EÃ³lica,5138.49,871.19,299.94,Finalizado
PROJ000044,EMP006667,Solar,6359.96,2258.1,202.18,Activo
PROJ000045,EMP000519,Biomasa,9105.72,2954.62,140.39,Activo
PROJ000046,EMP007133,Biomasa,1870.69,4156.79,93.46,Finalizado
PROJ000047,EMP021457,GeotÃ©rmica,7642.84,4714.12,482.02,Finalizado
PROJ000048,EMP019638,Biomasa,4799.37,4591.28,457.42,Activo
PROJ000049,EMP023837,EÃ³lica,8166.03,1989.69,150.07,Finalizado
PROJ000050,EMP003322,Biomasa,8990.33,1929.77,300.75,En desarrollo
PROJ000051,EMP001680,Biomasa,4891.71,2051.06,319.26,En desarrollo
PROJ000052,EMP009312,Biomasa,2771.54,1981.07,478.98,Activo
PROJ000053,EMP013176,EÃ³lica,2579.62,2228.74,381.8,Activo
PROJ000054,EMP021003,EÃ³lica,7004.38,836.62,25.22,En desarrollo
PROJ000055,EMP009806,HidroelÃ©ctrica,5812.8,442.59,433.26,Finalizado
PROJ000056,EMP024423,GeotÃ©rmica,7512.41,1195.84,175.22,Activo
PROJ000057,EMP023143,Biomasa,7065.33,1555.97,265.4,Activo
PROJ000058,EMP023139,EÃ³lica,9869.21,585.28,373.04,Finalizado
PROJ000059,EMP018553,Solar,8422.98,373.32,179.93,Activo
PROJ000060,EMP002004,GeotÃ©rmica,7078.93,3963.84,346.02,En desarrollo
PROJ000061,EMP022443,GeotÃ©rmica,7274.09,4130.43,297.23,En desarrollo
PROJ000062,EMP010270,HidroelÃ©ctrica,3271.65,1314.98,412.48,Finalizado
PROJ000063,EMP002976,GeotÃ©rmica,1453.76,3969.17,215.22,En desarrollo
PROJ000064,EMP014795,HidroelÃ©ctrica,8544.98,3746.07,132.85,Finalizado
PROJ000065,EMP002177,HidroelÃ©ctrica,8888.14,1880.17,295.32,En desarrollo
PROJ000066,EMP015378,GeotÃ©rmica,8859.63,2341.21,51.52,Finalizado
PROJ000067,EMP007377,EÃ³lica,6352.95,3965.58,280.69,En desarrollo
PROJ000068,EMP004049,EÃ³lica,9155.89,4562.32,242.48,Activo
PROJ000069,EMP015245,GeotÃ©rmica,1122.67,1131.38,106.06,Activo
PROJ000070,EMP017328,HidroelÃ©ctrica,3584.84,2621.52,36.26,En desarrollo
PROJ000071,EMP015954,Biomasa,441.64,2590.58,252.09,Activo
PROJ000072,EMP022908,Solar,7019.6,4413.06,497.26,En desarrollo
PROJ000073,EMP008677,EÃ³lica,2038.99,3091.7,58.59,Activo
PROJ000074,EMP019419,GeotÃ©rmica,2540.88,3999.79,113.11,Finalizado
PROJ000075,EMP014056,GeotÃ©rmica,4222.3,1372.28,451.66,Activo
PROJ000076,EMP005108,Solar,9320.05,1465.92,244.95,Finalizado
PROJ000077,EMP016479,Solar,8452.87,2313.45,30.49,Finalizado
PROJ000078,EMP009922,Biomasa,3714.22,4505.66,50.89,Activo
PROJ000079,EMP013107,GeotÃ©rmica,7450.57,3814.89,462.42,En desarrollo
PROJ000080,EMP021677,HidroelÃ©ctrica,1192.29,1273.88,165.76,En desarrollo
PROJ000081,EMP008339,GeotÃ©rmica,6265.0,2824.41,433.79,Activo
PROJ000082,EMP018852,Solar,1082.81,1148.32,172.86,Activo
PROJ000083,EMP002056,Biomasa,5448.63,3300.97,244.49,Activo
PROJ000084,EMP010008,Biomasa,4030.47,3629.93,242.79,En desarrollo
PROJ000085,EMP015067,EÃ³lica,3466.66,1913.14,260.09,Activo
PROJ000086,EMP024268,GeotÃ©rmica,8972.39,2539.9,422.37,Activo
PROJ000087,EMP020209,Solar,4153.06,1368.01,149.55,Activo
PROJ000088,EMP016385,Solar,6404.88,2901.23,394.65,Activo
PROJ000089,EMP013197,HidroelÃ©ctrica,448.98,437.41,440.2,En desarrollo
PROJ000090,EMP007593,Biomasa,5717.72,3889.93,162.69,Finalizado
PROJ000091,EMP020818,Biomasa,1885.62,676.76,140.11,Activo
PROJ000092,EMP022682,GeotÃ©rmica,1607.27,4138.74,416.78,En desarrollo
PROJ000093,EMP007056,Solar,6216.41,1769.17,384.92,Finalizado
PROJ000094,EMP011860,GeotÃ©rmica,342.23,584.37,263.21,Finalizado
PROJ000095,EMP014091,Biomasa,5210.05,1120.07,413.24,Finalizado
PROJ000096,EMP019520,EÃ³lica,1836.52,3388.66,33.1,Finalizado
PROJ000097,EMP016840,Solar,3813.1,1602.67,109.47,En desarrollo
PROJ000098,EMP022517,HidroelÃ©ctrica,3081.07,4747.53,429.77,Finalizado
PROJ000099,EMP003583,EÃ³lica,3478.02,2222.78,443.28,Finalizado
PROJ000100,EMP015404,Biomasa,3788.63,1771.08,128.82,Finalizado
PROJ000101,EMP005287,HidroelÃ©ctrica,8926.25,985.28,290.42,Activo
PROJ000102,EMP002022,Solar,1578.9,2579.99,30.33,Activo
