empresa_id,nombre,emisiones_netas,cumple_normativa,regulacion_id,costo_impuesto
EMP000000,Empresa_0,2386.06,1,REG000005,0.0
EMP000001,Empresa_1,14569.99,0,REG000019,170515.91
EMP000002,Empresa_2,2224.93,1,REG000016,0.0
EMP000003,Empresa_3,3764.32,1,REG000019,0.0
EMP000004,Empresa_4,7876.34,1,REG000008,0.0
EMP000005,Empresa_5,2147.87,1,REG000005,0.0
EMP000006,Empresa_6,3871.34,1,REG000019,0.0
EMP000007,Empresa_7,6224.86,1,REG000010,0.0
EMP000008,Empresa_8,10384.66,0,REG000003,59890.0
EMP000009,Empresa_9,13398.5,0,REG000019,140232.89
EMP000010,Empresa_10,15347.22,0,REG000001,192220.75
EMP000011,Empresa_11,8701.37,0,REG000019,18812.08
EMP000012,Empresa_12,1807.39,1,REG000005,0.0
EMP000013,Empresa_13,8186.49,0,REG000001,7688.74
EMP000014,Empresa_14,-4011.02,1,REG000019,0.0
EMP000015,Empresa_15,162.16,1,REG000000,0.0
EMP000016,Empresa_16,14768.45,0,REG000010,170582.94
EMP000017,Empresa_17,2354.99,1,REG000005,0.0
EMP000018,Empresa_18,-3123.72,1,REG000000,0.0
EMP000019,Empresa_19,8774.97,0,REG000005,22866.96
EMP000020,Empresa_20,5460.49,1,REG000003,0.0
EMP000021,Empresa_21,-765.97,1,REG000019,0.0
EMP000022,Empresa_22,1691.22,1,REG000000,0.0
EMP000023,Empresa_23,1543.69,1,REG000005,0.0
EMP000024,Empresa_24,1252.71,1,REG000005,0.0
EMP000025,Empresa_25,8936.06,0,REG000001,27005.16
EMP000026,Empresa_26,7144.45,1,REG000019,0.0
EMP000027,Empresa_27,6683.37,1,REG000010,0.0
EMP000028,Empresa_28,17380.81,0,REG000002,237877.43
EMP000029,Empresa_29,7657.13,1,REG000001,0.0
EMP000030,Empresa_30,17478.59,0,REG000019,245703.22
EMP000031,Empresa_31,8779.28,0,REG000011,21129.8
EMP000032,Empresa_32,4096.93,1,REG000001,0.0
