empresa_id,tipo_energia,proyecto_id,capacidad_generacion,reduccion_emisiones,costo_proyecto,estado_proyecto,total_inversion,energia_generada_total,emisiones_evitadas_total,retorno_estimado
EMP016520,Solar,PROJ000000,9131.06,2270.88,26.03,Activo,26.03,9131.06,2270.88,0.01
EMP012923,Solar,PROJ000001,2164.32,4886.1,364.36,Finalizado,386.61,3645.25,6823.68,0.06
EMP023136,Biomasa,PROJ000002,2374.24,446.3,190.17,En desarrollo,190.17,2374.24,446.3,0.43
EMP004436,Geotérmica,PROJ000003,4065.11,4465.83,126.6,Finalizado,126.6,4065.11,4465.83,0.03
EMP021681,Eólica,PROJ000004,4581.51,3280.46,227.13,Activo,227.13,4581.51,3280.46,0.07
EMP024018,Geotérmica,PROJ000005,6000.17,4752.33,88.9,Activo,402.25,11510.23,5716.3,0.07
EMP012238,Eólica,PROJ000006,2984.04,1969.57,251.01,Finalizado,251.01,2984.04,1969.57,0.13
EMP020520,Hidroeléctrica,PROJ000007,8502.92,4180.16,220.96,Finalizado,220.96,8502.92,4180.16,0.05
EMP012169,Hidroeléctrica,PROJ000008,1057.63,3538.61,153.18,Finalizado,525.39,3474.19,3737.46,0.14
EMP000629,Geotérmica,PROJ000009,5620.21,176.3,289.48,Activo,599.98,8661.56,1515.36,0.4
EMP004803,Biomasa,PROJ000010,8341.52,3469.38,431.89,Finalizado,431.89,8341.52,3469.38,0.12
EMP003152,Biomasa,PROJ000011,584.91,4059.04,444.35,Activo,479.67,9380.3,5910.16,0.08
EMP008983,Geotérmica,PROJ000012,4053.83,2328.98,39.46,Finalizado,513.96,10313.89,2720.88,0.19
EMP010936,Eólica,PROJ000013,9811.93,4614.99,351.1,En desarrollo,351.1,9811.93,4614.99,0.08
EMP009367,Hidroeléctrica,PROJ000014,6886.96,773.28,477.44,Activo,477.44,6886.96,773.28,0.62
EMP000110,Biomasa,PROJ000015,7772.69,24.2,387.8,En desarrollo,935.86,15784.31,2803.9,0.33
EMP003807,Eólica,PROJ000016,1688.12,260.0,60.53,Activo,60.53,1688.12,260.0,0.23
